NodeID, TEMPERATURE1, DISPLACEMENT_X1, DISPLACEMENT_Y1, STRESS_XX, STRESS_YY, STRESS_ZZ, STRESS_XY, STRAIN_XX, STRAIN_YY, STRAIN_ZZ, STRAIN_XY
0, 0.000000000000e+00, -2.500000000000e-05, 0.000000000000e+00, -2.578698309268e-08, -2.589990799606e-08, -1.292244178330e-08, 7.228014483237e-10, -6.432487315457e-19, -6.488000009200e-19, 0.000000000000e+00, 7.228014483237e-20
1, 5.000000000000e-02, -2.493750000000e-05, 0.000000000000e+00, 4.446830729040e-09, -5.000000000000e+04, -5.000000000000e+04, -1.022104643524e-08, 2.500000000000e-06, 5.598280467991e-20, 0.000000000000e+00, -1.022104643524e-18
2, 1.000000000000e-01, -2.475000000000e-05, 0.000000000000e+00, -1.763112515049e-08, -1.000000000000e+05, -1.000000000000e+05, 8.626255828941e-09, 4.999999999999e-06, 3.101809269600e-19, 0.000000000000e+00, 8.626255828941e-19
3, 1.500000000000e-01, -2.443750000000e-05, 0.000000000000e+00, 1.331133631137e-08, -1.500000000000e+05, -1.500000000000e+05, -1.681369437063e-08, 7.500000000000e-06, -9.615817690491e-20, 0.000000000000e+00, -1.681369437063e-18
4, 2.000000000000e-01, -2.400000000000e-05, 0.000000000000e+00, -1.186591826721e-08, -2.000000000000e+05, -2.000000000000e+05, 3.963931988115e-09, 1.000000000000e-05, 1.481544936079e-19, 0.000000000000e+00, 3.963931988115e-19
5, 2.500000000000e-01, -2.343750000000e-05, 0.000000000000e+00, 3.080136752740e-08, -2.500000000000e+05, -2.500000000000e+05, -1.436422114515e-08, 1.250000000000e-05, -5.742946884647e-20, 0.000000000000e+00, -1.436422114515e-18
6, 3.000000000000e-01, -2.275000000000e-05, 0.000000000000e+00, 3.039215033499e-09, -3.000000000000e+05, -3.000000000000e+05, 9.544148897575e-09, 1.500000000000e-05, 3.203545032243e-19, 0.000000000000e+00, 9.544148897575e-19
7, 3.500000000000e-01, -2.193750000000e-05, 0.000000000000e+00, 4.524106618903e-09, -3.500000000000e+05, -3.500000000000e+05, -2.467124484058e-08, 1.750000000000e-05, -2.945000051836e-19, 0.000000000000e+00, -2.467124484058e-18
8, 4.000000000000e-01, -2.100000000000e-05, 0.000000000000e+00, 8.306044579243e-10, -4.000000000000e+05, -4.000000000000e+05, -1.124495343883e-08, 2.000000000000e-05, 8.326101962435e-20, 0.000000000000e+00, -1.124495343883e-18
9, 4.500000000000e-01, -1.993750000000e-05, 0.000000000000e+00, 6.987736463257e-08, -4.500000000000e+05, -4.500000000000e+05, 1.408734004090e-08, 2.250000000000e-05, 5.139316495822e-19, 0.000000000000e+00, 1.408734004090e-18
10, 5.000000000000e-01, -1.875000000000e-05, 0.000000000000e+00, 2.036926785480e-08, -5.000000000000e+05, -5.000000000000e+05, 2.375763212050e-08, 2.500000000000e-05, -6.153353848825e-19, 0.000000000000e+00, 2.375763212050e-18
11, 5.500000000000e-01, -1.743750000000e-05, 0.000000000000e+00, 5.498375771282e-08, -5.500000000000e+05, -5.500000000000e+05, 2.511789400480e-08, 2.750000000000e-05, 3.854192771363e-19, 0.000000000000e+00, 2.511789400480e-18
12, 6.000000000000e-01, -1.600000000000e-05, 0.000000000000e+00, 6.609781120995e-08, -6.000000000000e+05, -6.000000000000e+05, 6.487906496120e-09, 3.000000000000e-05, 6.775757928915e-19, 0.000000000000e+00, 6.487906496120e-19
13, 6.500000000000e-01, -1.443750000000e-05, 0.000000000000e+00, 6.794602987473e-08, -6.500000000000e+05, -6.500000000000e+05, 1.010337137802e-09, 3.250000000000e-05, -1.134382271770e-19, 0.000000000000e+00, 1.010337137802e-19
14, 7.000000000000e-01, -1.275000000000e-05, 0.000000000000e+00, 4.466217552986e-08, -7.000000000000e+05, -7.000000000000e+05, -3.576664028058e-09, 3.500000000000e-05, -5.097222131037e-19, 0.000000000000e+00, -3.576664028058e-19
15, 7.500000000000e-01, -1.093750000000e-05, 0.000000000000e+00, 9.875624657525e-08, -7.499999999999e+05, -7.500000000000e+05, -1.669966341411e-08, 3.750000000000e-05, 7.330045106610e-19, 0.000000000000e+00, -1.669966341411e-18
16, 8.000000000000e-01, -9.000000000001e-06, 0.000000000000e+00, 7.824570655965e-08, -8.000000000000e+05, -8.000000000000e+05, 2.905597051524e-09, 4.000000000000e-05, -4.290209972711e-20, 0.000000000000e+00, 2.905597051524e-19
17, 8.500000000000e-01, -6.937500000000e-06, 0.000000000000e+00, 6.126579405199e-08, -8.500000000000e+05, -8.500000000000e+05, 7.005320269863e-10, 4.250000000000e-05, -1.472309819444e-19, 0.000000000000e+00, 7.005320269863e-20
18, 9.000000000000e-01, -4.750000000000e-06, 0.000000000000e+00, 7.112270246209e-08, -9.000000000000e+05, -9.000000000000e+05, 1.308119655847e-09, 4.500000000000e-05, 2.540284826005e-19, 0.000000000000e+00, 1.308119655847e-19
19, 9.500000000000e-01, -2.437500000000e-06, 0.000000000000e+00, 7.726617074705e-08, -9.500000000000e+05, -9.500000000000e+05, -2.059430716672e-08, 4.750000000000e-05, -5.524946661966e-19, 0.000000000000e+00, -2.059430716672e-18
20, 1.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 7.043776372951e-08, -1.000000000000e+06, -1.000000000000e+06, 2.329455585430e-09, 5.000000000000e-05, 4.186272532389e-19, 0.000000000000e+00, 2.329455585430e-19
21, 0.000000000000e+00, -2.500000000000e-05, -2.073649628823e-20, -4.425451341285e-08, -1.703625684968e-08, -1.532492888145e-08, -3.037478222380e-09, -1.446546985453e-18, -8.557616199641e-20, 0.000000000000e+00, -3.037478222380e-19
22, 5.000000000000e-02, -2.493750000000e-05, 8.781548832894e-22, 1.307661779496e-08, -4.999999999999e+04, -5.000000000000e+04, -1.283682876456e-08, 2.500000000000e-06, 4.317305092658e-20, 0.000000000000e+00, -1.283682876456e-18
23, 1.000000000000e-01, -2.475000000000e-05, 3.792391361324e-21, -1.421923247195e-09, -1.000000000000e+05, -1.000000000000e+05, -1.212049412521e-08, 5.000000000000e-06, 8.256312590129e-20, 0.000000000000e+00, -1.212049412521e-18
24, 1.500000000000e-01, -2.443750000000e-05, 5.083158453718e-21, 2.267076518146e-08, -1.500000000000e+05, -1.500000000000e+05, -5.661913821104e-09, 7.500000000001e-06, 1.475449222282e-21, 0.000000000000e+00, -5.661913821104e-19
25, 2.000000000000e-01, -2.400000000000e-05, -1.102219243757e-21, -1.538464233282e-08, -2.000000000000e+05, -2.000000000000e+05, -6.515231372296e-09, 9.999999999999e-06, -3.662929073148e-20, 0.000000000000e+00, -6.515231372296e-19
26, 2.500000000000e-01, -2.343750000000e-05, -2.984477982213e-21, 1.353266051394e-08, -2.500000000000e+05, -2.500000000000e+05, -2.657405891438e-09, 1.250000000000e-05, -1.578512885706e-20, 0.000000000000e+00, -2.657405891438e-19
27, 3.000000000000e-01, -2.275000000000e-05, -3.333048702742e-21, -8.798303120282e-09, -3.000000000000e+05, -3.000000000000e+05, -1.084630207341e-08, 1.500000000000e-05, -3.999904276620e-20, 0.000000000000e+00, -1.084630207341e-18
28, 3.500000000000e-01, -2.193750000000e-05, 1.116471817676e-20, 8.141613669580e-09, -3.500000000000e+05, -3.500000000000e+05, -3.327107799985e-10, 1.750000000000e-05, -8.343531552617e-20, 0.000000000000e+00, -3.327107799986e-20
29, 4.000000000000e-01, -2.100000000000e-05, -8.825492043669e-22, 2.141203058886e-08, -4.000000000000e+05, -4.000000000000e+05, -1.336581108827e-09, 2.000000000000e-05, -1.279316102902e-20, 0.000000000000e+00, -1.336581108827e-19
30, 4.500000000000e-01, -1.993750000000e-05, -1.206694722531e-20, 3.846561567813e-08, -4.500000000000e+05, -4.500000000000e+05, -6.385079679498e-09, 2.250000000000e-05, 3.657023916447e-20, 0.000000000000e+00, -6.385079679498e-19
31, 5.000000000000e-01, -1.875000000000e-05, 1.473807269627e-20, 5.706406792350e-08, -5.000000000000e+05, -5.000000000000e+05, -2.208888390722e-09, 2.500000000000e-05, -1.395620175650e-20, 0.000000000000e+00, -2.208888390722e-19
32, 5.500000000000e-01, -1.743750000000e-05, 5.036021902546e-22, 3.799717912694e-08, -5.500000000000e+05, -5.500000000000e+05, -6.698071908653e-09, 2.750000000000e-05, -4.015906610269e-20, 0.000000000000e+00, -6.698071908653e-19
33, 6.000000000000e-01, -1.600000000000e-05, -6.194123628331e-21, 5.511158475133e-08, -6.000000000000e+05, -6.000000000000e+05, -2.046992614753e-10, 3.000000000000e-05, 3.832759359708e-21, 0.000000000000e+00, -2.046992614753e-20
34, 6.500000000000e-01, -1.443750000000e-05, -8.530646511852e-22, 7.034820638776e-08, -6.500000000000e+05, -6.500000000000e+05, 3.151827302815e-09, 3.250000000000e-05, 3.485714632586e-20, 0.000000000000e+00, 3.151827302815e-19
35, 7.000000000000e-01, -1.275000000000e-05, 7.750947693798e-21, 6.158874221742e-08, -7.000000000000e+05, -7.000000000000e+05, 1.781957777351e-10, 3.500000000000e-05, 1.606727408990e-20, 0.000000000000e+00, 1.781957777351e-20
36, 7.500000000000e-01, -1.093750000000e-05, -1.267066560734e-20, 8.632458453992e-08, -7.500000000000e+05, -7.500000000000e+05, 7.375108304758e-10, 3.750000000000e-05, 5.881421031581e-21, 0.000000000000e+00, 7.375108304758e-20
37, 8.000000000000e-01, -9.000000000001e-06, -2.606431150119e-22, 6.540953419278e-08, -8.000000000000e+05, -8.000000000000e+05, -2.529440659062e-09, 4.000000000000e-05, 1.075541353977e-20, 0.000000000000e+00, -2.529440659062e-19
38, 8.500000000000e-01, -6.937500000000e-06, 5.311126772337e-21, 6.897308645077e-08, -8.500000000000e+05, -8.500000000000e+05, 7.873306796172e-10, 4.250000000000e-05, -2.457056806598e-20, 0.000000000000e+00, 7.873306796172e-20
39, 9.000000000000e-01, -4.750000000000e-06, -2.675826084192e-21, 6.839179303757e-08, -9.000000000000e+05, -9.000000000000e+05, -2.446615802596e-09, 4.500000000000e-05, -8.732362616210e-21, 0.000000000000e+00, -2.446615802596e-19
40, 9.500000000000e-01, -2.437500000000e-06, 8.345443275578e-21, 8.075807266672e-08, -9.500000000000e+05, -9.500000000000e+05, -2.304014933281e-09, 4.750000000000e-05, 8.426973938385e-21, 0.000000000000e+00, -2.304014933281e-19
41, 1.000000000000e+00, 0.000000000000e+00, -5.286561547737e-21, 7.341848040085e-08, -1.000000000000e+06, -1.000000000000e+06, -1.596269919874e-09, 5.000000000000e-05, 4.597355429422e-21, 0.000000000000e+00, -1.596269919874e-19
42, 0.000000000000e+00, -2.500000000000e-05, 0.000000000000e+00, 3.705922818200e-08, 3.421700967010e-08, 1.781791070243e-08, -6.397394686934e-10, 9.620706094033e-19, 8.199523249128e-19, 0.000000000000e+00, -6.397394686934e-20
43, 5.000000000000e-02, -2.493750000000e-05, 0.000000000000e+00, 8.841767277908e-09, -5.000000000000e+04, -5.000000000000e+04, 1.224882376766e-08, 2.500000000000e-06, -1.423289065331e-19, 0.000000000000e+00, 1.224882376766e-18
44, 1.000000000000e-01, -2.475000000000e-05, 0.000000000000e+00, -7.845275678771e-09, -1.000000000000e+05, -1.000000000000e+05, -1.348149658788e-09, 5.000000000000e-06, -4.753071787626e-19, 0.000000000000e+00, -1.348149658788e-19
45, 1.500000000000e-01, -2.443750000000e-05, 0.000000000000e+00, -2.413141233489e-09, -1.500000000000e+05, -1.500000000000e+05, 1.396401956715e-08, 7.500000000000e-06, 9.320727846034e-20, 0.000000000000e+00, 1.396401956715e-18
46, 2.000000000000e-01, -2.400000000000e-05, 0.000000000000e+00, 6.076897833429e-09, -2.000000000000e+05, -2.000000000000e+05, 3.240575106018e-10, 1.000000000000e-05, -7.489591214495e-20, 0.000000000000e+00, 3.240575106018e-20
47, 2.500000000000e-01, -2.343750000000e-05, 0.000000000000e+00, 9.914874437878e-09, -2.500000000000e+05, -2.500000000000e+05, 8.284891779545e-09, 1.250000000000e-05, 8.899972656058e-20, 0.000000000000e+00, 8.284891779545e-19
48, 3.000000000000e-01, -2.275000000000e-05, 0.000000000000e+00, -1.697475752072e-08, -3.000000000000e+05, -3.000000000000e+05, 7.052959537693e-09, 1.500000000000e-05, -2.403564176919e-19, 0.000000000000e+00, 7.052959537693e-19
49, 3.500000000000e-01, -2.193750000000e-05, 0.000000000000e+00, 2.767095622529e-08, -3.500000000000e+05, -3.500000000000e+05, 1.285832307961e-08, 1.750000000000e-05, 4.613706362360e-19, 0.000000000000e+00, 1.285832307961e-18
50, 4.000000000000e-01, -2.100000000000e-05, 0.000000000000e+00, 4.357963535944e-08, -4.000000000000e+05, -4.000000000000e+05, 7.629488556932e-09, 2.000000000000e-05, -5.767469756630e-20, 0.000000000000e+00, 7.629488556932e-19
51, 4.500000000000e-01, -1.993750000000e-05, 0.000000000000e+00, -3.069275927512e-09, -4.500000000000e+05, -4.500000000000e+05, 6.602758845068e-09, 2.250000000000e-05, -5.870721279111e-19, 0.000000000000e+00, 6.602758845068e-19
52, 5.000000000000e-01, -1.875000000000e-05, 0.000000000000e+00, 7.554189359201e-08, -5.000000000000e+05, -5.000000000000e+05, -2.395773290950e-08, 2.500000000000e-05, 6.432477883955e-19, 0.000000000000e+00, -2.395773290950e-18
53, 5.500000000000e-01, -1.743750000000e-05, 0.000000000000e+00, 4.241633247134e-08, -5.500000000000e+05, -5.500000000000e+05, -1.183004315517e-08, 2.750000000000e-05, -3.051011449310e-19, 0.000000000000e+00, -1.183004315517e-18
54, 6.000000000000e-01, -1.600000000000e-05, 0.000000000000e+00, 4.217825864442e-08, -6.000000000000e+05, -6.000000000000e+05, -1.043535333788e-08, 3.000000000000e-05, -6.852413116109e-19, 0.000000000000e+00, -1.043535333788e-18
55, 6.500000000000e-01, -1.443750000000e-05, 0.000000000000e+00, 5.842321060543e-08, -6.500000000000e+05, -6.500000000000e+05, 2.360580684717e-09, 3.250000000000e-05, 4.372393452529e-20, 0.000000000000e+00, 2.360580684717e-19
56, 7.000000000000e-01, -1.275000000000e-05, 0.000000000000e+00, 7.369234582982e-08, -7.000000000000e+05, -7.000000000000e+05, 6.280702650298e-09, 3.500000000000e-05, 4.775876649239e-19, 0.000000000000e+00, 6.280702650298e-19
57, 7.500000000000e-01, -1.093750000000e-05, 0.000000000000e+00, 6.303356538967e-08, -7.500000000000e+05, -7.500000000000e+05, 1.781182671062e-08, 3.750000000000e-05, -7.447673527241e-19, 0.000000000000e+00, 1.781182671062e-18
58, 8.000000000000e-01, -9.000000000001e-06, 0.000000000000e+00, 6.444528008456e-08, -8.000000000000e+05, -8.000000000000e+05, -5.212349376324e-09, 4.000000000000e-05, 2.139127264757e-20, 0.000000000000e+00, -5.212349376324e-19
59, 8.500000000000e-01, -6.937500000000e-06, 0.000000000000e+00, 8.097844570253e-08, -8.500000000000e+05, -8.500000000000e+05, -1.397558811711e-09, 4.250000000000e-05, 1.963721180764e-19, 0.000000000000e+00, -1.397558811711e-19
60, 9.000000000000e-01, -4.750000000000e-06, 0.000000000000e+00, 5.548009789980e-08, -9.000000000000e+05, -9.000000000000e+05, -6.140943316335e-09, 4.500000000000e-05, -2.365637573681e-19, 0.000000000000e+00, -6.140943316335e-19
61, 9.500000000000e-01, -2.437500000000e-06, 0.000000000000e+00, 9.262726188892e-08, -9.500000000000e+05, -9.500000000000e+05, 1.900448091275e-08, 4.750000000000e-05, 5.356407183199e-19, 0.000000000000e+00, 1.900448091275e-18
62, 1.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 7.391226668152e-08, -1.000000000000e+06, -1.000000000000e+06, 3.337444261292e-09, 5.000000000000e-05, -4.278219640977e-19, 0.000000000000e+00, 3.337444261292e-19
